Percent_families_BPL,Percent_over_5yrs_not_speak_english_well,Percent_HS_grad_25yrs_above,Percent_with_health_insurance,ZIP
22.6,6.5,33.6,94.2,14615
10.0,2.8,33.3,90.1,14616
4.3,3.6,21.5,95.8,14617
3.3,3.9,10.4,95.8,14618
22.1,2.4,29.7,92.7,14619
13.6,7.1,16.5,90.8,14620
36.4,17.5,31.2,87.2,14621
5.6,4.1,35.6,94.2,14622
5.3,8.2,19.3,92.9,14623
3.6,3.7,28.4,95.5,14624
3.0,1.5,16.7,96.5,14625
3.6,4.6,29.5,95.2,14626
-666666666.0,8.0,0.0,97.5,14627
18.6,2.8,34.7,92.9,14701
9.7,1.2,35.2,93.9,14706
0.0,0.0,63.9,93.3,14707
8.0,0.0,30.4,95.1,14708
11.4,2.7,40.0,82.1,14709
7.8,0.6,36.4,91.3,14710
14.5,1.4,39.7,79.3,14711
2.0,0.0,27.9,91.9,14712
4.7,4.9,41.6,74.0,14714
15.2,0.2,46.0,94.4,14715
14.7,7.1,34.4,90.9,14716
5.6,0.0,34.3,87.1,14717
8.5,1.7,35.6,93.2,14718
12.5,2.7,41.4,89.9,14719
26.8,0.5,39.2,86.0,14720
7.9,0.0,34.2,75.2,14721
0.0,4.3,6.3,93.9,14722
8.6,1.4,39.2,93.2,14723
9.4,3.2,37.4,76.3,14724
28.4,16.7,28.9,50.0,14726
9.7,2.7,39.9,90.8,14727
6.0,4.7,15.6,89.1,14728
3.4,1.1,39.4,91.7,14729
3.6,0.6,26.5,91.3,14731
0.0,6.0,50.0,92.0,14732
15.2,1.2,39.7,96.0,14733
14.5,2.9,37.6,86.8,14735
20.0,0.0,51.9,86.7,14736
10.6,1.1,45.4,87.6,14737
9.4,0.0,36.0,97.8,14738
4.0,0.0,22.1,89.0,03287
0.6,0.0,24.2,92.0,03290
0.0,0.0,69.2,100.0,03291
0.0,0.0,29.2,100.0,03293
8.3,3.5,25.8,89.4,03301
6.7,1.6,30.2,90.3,03303
4.2,0.8,20.5,96.9,03304
6.9,0.3,39.8,94.3,03307
6.4,1.1,27.9,91.2,03431
6.5,0.2,36.3,82.8,03440
0.0,0.0,40.7,89.4,03441
4.5,0.0,36.5,88.1,03442
0.0,0.0,38.0,93.8,03443
3.9,1.3,34.8,91.5,03444
4.6,0.0,33.2,85.4,03445
12.5,0.4,39.1,91.5,03446
2.0,0.0,41.6,86.2,03447
1.6,0.6,35.5,86.0,03448
3.3,0.2,13.7,94.8,03449
4.4,0.6,22.4,90.0,03450
4.7,0.4,44.8,86.0,03451
6.5,0.7,34.5,87.0,03452
7.2,0.5,32.6,92.3,03455
1.8,0.0,35.0,95.3,03456
3.6,0.0,23.7,83.8,03457
0.1,0.1,20.0,90.1,03458
2.4,2.8,36.2,90.2,03461
0.0,0.0,19.6,98.1,03462
0.8,0.0,28.1,94.1,03464
6.0,1.5,37.2,86.2,03465
0.0,0.0,42.4,100.0,03466
6.0,1.9,30.6,92.0,03467
12.1,0.2,47.3,86.0,03470
9.0,4.8,31.6,91.7,03561
18.1,3.9,44.1,89.5,03570
15.1,0.9,24.1,86.4,03574
0.0,16.7,0.0,65.9,03575
10.1,2.2,34.9,84.9,03576
5.1,2.0,46.0,82.8,03579
1.3,1.1,19.2,87.9,03580
4.4,1.5,35.4,91.9,03581
9.2,2.9,42.4,88.9,03582
2.8,0.8,33.2,87.7,03583
4.9,0.8,36.2,89.7,03584
5.8,0.4,35.7,86.5,03585
4.8,0.0,17.7,91.2,03586
3.7,1.7,40.1,85.1,03588
19.4,1.5,37.9,85.0,03590
11.3,1.4,43.9,85.9,03592
5.9,2.4,22.9,91.9,03593
3.7,0.4,33.8,90.0,03595
0.0,2.1,44.9,76.1,03597
7.5,1.4,35.5,87.8,03598
5.0,2.1,49.0,84.3,03601
9.0,0.4,30.2,92.3,03602
9.3,0.0,45.2,83.5,03603
28.2,0.0,49.5,79.9,03604
2.1,0.0,43.4,87.4,03605
13.5,2.1,43.1,78.1,03607
0.6,0.0,28.2,93.0,03608
4.7,0.1,40.2,95.6,03609
9.4,1.0,39.2,79.7,03740
10.4,0.7,33.3,81.4,03741
7.8,0.7,43.9,87.7,03743
4.9,1.6,21.5,92.8,03745
0.0,0.0,32.5,98.2,03746
0.9,1.2,29.6,91.1,03748
0.0,0.0,8.1,88.5,03750
0.0,0.8,54.9,78.6,03751
10.8,0.3,39.7,86.2,03752
4.1,2.6,20.3,93.5,03753
100.0,0.0,0.0,62.3,03754
5.4,2.3,5.4,97.9,03755
9.5,0.0,41.4,89.0,03765
4.9,3.8,23.5,88.6,03766
0.6,0.4,13.3,93.5,03768
0.0,1.5,17.9,90.5,03770
1.5,0.5,36.1,96.4,03771
2.7,1.7,38.9,89.0,03773
2.9,0.5,34.1,85.3,03774
3.1,0.0,25.7,80.4,03777
16.0,42.1,39.8,75.8,07202
11.7,18.3,33.6,82.9,07203
5.7,17.2,33.8,87.8,07204
10.6,15.9,34.6,82.4,07205
21.3,42.2,41.3,68.2,07206
14.6,42.8,38.8,77.3,07208
7.3,17.5,10.4,91.0,07302
22.1,18.5,30.6,80.0,07304
20.5,13.4,31.7,83.3,07305
18.2,34.9,24.2,78.1,07306
14.6,26.2,26.1,77.7,07307
6.9,12.4,7.9,93.5,07310
0.0,0.0,0.0,100.0,07311
1.6,5.5,10.1,97.5,07401
2.6,7.7,37.3,87.9,07403
1.7,5.8,21.9,92.5,07405
8.3,16.6,36.7,89.8,07407
4.0,15.0,19.3,93.9,07410
5.2,3.6,40.6,92.1,07416
2.4,5.7,14.0,94.6,07417
4.3,1.9,39.2,92.9,07418
